Abaeis nicippe,Sleepy orange butterfly
Acanthopagrus berda,Picnic seabream
Acanthopagrus butcheri,Australian black bream
Acanthopagrus latus,Yellowfin seabream
Acanthopagrus schlegelii,Black porgy
Acanthophis antarcticus,Common death adder
Acanthophis sp.,Seram death adder
Acanthorhodeus chankaensis,Khanka spiny bitterling
Acanthosaura capra,Mountain horned dragon
Acanthoscelides argillaceus,Bean weevil
Acanthoscelides obtectus,Bean weevil
Acanthoscelides obvelatus,Bean weevil
Acanthoscurria gomesiana,Tarantula spider
Acanthoscurria natalensis,Tarantula spider
Acanthosoma crassicaudum,Shield bug
Acanthospermum australe,Paraguayan starburr
Acanthurus bahianus,Ocean surgeonfish
Acanthurus coeruleus,Blue tang surgeonfish
Acanthurus guttatus,Whitespotted surgeonfish
Acanthurus leucosternon,Powderblue surgeonfish
Acanthurus lineatus,Lined surgeonfish
Acanthurus nigricans,Whitecheek surgeonfish
Acanthurus nigrofuscus,Brown surgeonfish
Acanthurus nigroris,Bluelined surgeonfish
Acanthurus thompsoni,Thompson's surgeonfish
Acanthurus triostegus,Convict surgeonfish
Acanthus ebracteatus,Holly-leaved mangrove
Acantopsis choirorhynchos,Horseface loach
Acar domingensis,White miniature ark
Acar gradata,Ark clam
Acar plicata,Ark clam
Acarus siro,Flour mite
Accipiter cooperii,Cooper's hawk
Accipiter gentilis,Northern goshawk
Accipiter striatus,Sharp-shinned hawk
Acentrogobius chlorostigmatoides,Greenspot goby
Acentrogobius janthinopterus,Robust mangrove goby
Acentrogobius pflaumii,Striped sandgoby
Acer buergerianum,Trident maple
Acer campestre,Field maple
Acer monspessulanum,Montpellier maple
Acer negundo,Box elder
Acer opalus,Italian maple
Acer palmatum,Japanese maple
Acer platanoides,Norway maple
Acer pseudoplatanus,Sycamore maple
Acer rubrum,Red maple
Acer saccharinum,Silver maple
Acer saccharum,Sugar maple
Acer spicatum,Moose maple
Acerodon jubatus,Golden-capped fruit bat
Acetabularia acetabulum,Mermaid's wine glass
Acetabularia peniculus,Green alga
Achaea janata,Castor semi-looper moth
Achalinus meiguensis,Sichuan odd-scaled snake
Achatina achatina,Giant Ghana snail
Achatina fulica,Giant African snail
Acheilognathus macropterus,Deep body bitterling
Achelia bituberculata,Sea spider
Achelia echinata,Sea spider
Acheta domesticus,House cricket
Achimenes admirabilis,Monkey faced pansy
Achipteria coleoptrata,Oribatid mite
Achirus lineatus,Lined sole
Achlya ambisexualis,Water mold
Achlya bisexualis,Water mold
Achlyodes busirus,Giant sicklewing skipper
Achlys triphylla,Vanilla leaf
Achyranthes arborescens,Chaff tree
Acilius sulcatus,Water beetle
Acinetospora crinita,Brown alga
Acipenser baerii,Siberian sturgeon
Acipenser brevirostrum,Shortnose sturgeon
Acipenser dabryanus,Yangtze sturgeon
Acipenser fulvescens,Lake sturgeon
Acipenser gueldenstaedtii,Russian sturgeon
Acipenser medirostris,Green sturgeon
Acipenser mikadoi,Sakhalin sturgeon
Acipenser naccarii,Adriatic sturgeon
Acipenser nudiventris,Fringebarbel sturgeon
Acipenser oxyrinchus,Atlantic sturgeon
Acipenser persicus,Persian sturgeon
Acipenser ruthenus,Sterlet sturgeon
Acipenser schrenckii,Amur sturgeon
Acipenser sinensis,Chinese sturgeon
Acipenser sturio,Atlantic sturgeon
Acipenser transmontanus,White sturgeon
Aciphylla aurea,Golden speargrass
Acizzia uncatoides,Acacia psyllid
Acmaea mitra,Whitecap limpet
Acmella radicans,Creeping spotflower
Acmispon americanus,Pursh's lotus
Acoelorraphe wrightii,Everglades palm
Acomys cahirinus,Cairo spiny mouse
Acomys ignitus,Fiery spiny mouse
Acomys minous,Crete spiny mouse
Acomys percivali,Percival's spiny mouse
Acomys russatus,Golden spiny mouse
Acomys wilsoni,Wilson's spiny mouse
Aconitum carmichaelii,Carmichael's monkshood
Aconitum coreanum,Korean monkshood
Acontia lucida,Pale shoulder
Acontias cregoi,Cregoe's legless skink
Acontias lineatus,Striped legless skink
Acontias meleagris,Cape legless skink
Acontias orientalis,Linnaeus' lance skink
Acontias percivali,Percival's legless lizard
Acontias rieppeli,Wood-bush legless skink
Acontias tristis,Striped legless skink
Acorus calamus,Sweet flag
Acorus gramineus,Dwarf sweet flag
Acosmeryx anceus,Hawk moth
Acossus centerensis,Poplar carpenterworm moth
Acrantophis dumerili,Dumeril's ground boa
Acrantophis madagascariensis,Madagascar ground boa
Acratocnus sp.,Ground sloth
Acratocnus ye,Hispaniolan ground sloth
Acreichthys tomentosus,Bristle-tail file-fish
Acrida cinerea,Chinese grasshopper
Acrida willemsei,Short-horned grasshopper
Acridotheres cristatellus,Crested myna
Acrobates pygmaeus,Feathertail glider
Acrocephalus arundinaceus,Great reed-warbler
Acrocephalus brevipennis,Cape Verde swamp-warbler
Acrocephalus mendanae,Marquesan reed-warbler
Acrocephalus orinus,Large-billed reed-warbler
Acrocephalus paludicola,Aquatic warbler
Acrocephalus scirpaceus,Eurasian reed-warbler
Acrocephalus stentoreus,Clamorous reed-warbler
Acrochordus granulatus,Rasp-skinned water snake
Acrochordus javanicus,Javan wart snake
Acrocinus longimanus,Giant harlequin beetle
Acroclita subsequana,Coast spurge bell
Acrocomia aculeata,Macaw palm
Acrolepiopsis assectella,Leek moth
Acromyrmex echinatior,Panamanian leafcutter ant
Acroneuria carolinensis,Carolina stonefly
Acronicta dactylina,Fingered dagger moth
Acronychia acidula,Lemon aspen
Acropora aspera,Staghorn coral
Acropora cervicornis,Staghorn coral
Acropora digitifera,Staghorn coral
Acropora donei,Staghorn coral
Acropora formosa,Staghorn coral
Acropora humilis,Finger staghorn coral
Acropora loripes,Staghorn coral
Acropora millepora,Staghorn coral
Acropora nasuta,Staghorn coral
Acropora nobilis,Staghorn coral
Acropora palmata,Elkhorn coral
Acropora prolifera,Fused staghorn coral
Acropora tenuis,Purple tipped acropora
Acropora valida,Staghorn coral
Acrosiphonia arcta,Green alga
Acrosiphonia sonderi,Green alga
Acrossidius tasmaniae,Tasmanian grass grub
Acrosternum hilare,Green stink bug
Acrostichum aureum,Golden leather fern
Acryllium vulturinum,Vulturine guineafowl
Actaea racemosa,Black cohosh
Actias luna,Luna moth
Actinemys marmorata,Western pond turtle
Actineria villosa,Okinawan sea anemone
Actinia bermudensis,Maroon anemone
Actinia equina,Beadlet anemone
Actinia fragacea,Strawberry anemone
Actinidia arguta,Tara vine
Actinidia deliciosa,Kiwi
Actinidia eriantha,Velvet vine
Actinodium cunninghamii,Albany daisy
Actinopyga echinites,Deep-water redfish
Actinopyga spinea,New Caledonia blackfish
Actinotus helianthi,Flannel flower
Actitis hypoleucos,Common sandpiper
Actitis macularius,Spotted sandpiper
Actophilornis africanus,African jacana
Acuticosta chinensis,Freshwater mussel
Acutisoma longipes,Neotropical harvestman
Acyrthosiphon kondoi,Blue alfalfa aphid
Acyrthosiphon pisum,Pea aphid
Acytostelium subglobosum,Slime mold
Adalia bipunctata,Two-spotted ladybird beetle
Adalia decempunctata,Ten-spotted ladybird beetle
Adamsia palliata,Cloak anemone
Adansonia digitata,Baobab tree
Adansonia grandidieri,Madagascan baobab tree
Adansonia gregorii,Australian baobab tree
Adansonia rubrostipa,Malagasy baobab tree
Adansonia za,Baobab tree
Adelges laricis,Larch woolly aphid
Adelges tsugae,Hemlock woolly adelgid
Adelieledone polymorpha,Antarctic knobbed octopus
Adelomyia melanogenys,Speckled hummingbird
Adelpha bredowii,Bredow's sister butterfly
Adelpha californica,California sister butterfly
Adelphocoris lineolatus,Alfalfa plant bug
Adenandra uniflora,China flower
Adenanthera pavonina,Sandal bead tree
Adenanthos obovatus,Basket flower
Adenanthos sericeus,Woolly bush
Adenia digitata,Wild granadilla
Adenia volkensii,Kilyambiti plant
Adenium obesum,Desert rose
Adenomera andreae,Lowland tropical bullfrog
Adenomera hylaedactyla,Napo tropical bullfrog
Adenomera marmorata,Marbled tropical bullfrog
Adenophorus hymenophylloides,Filmy kihi fern
Adenophorus periens,Pendant kihi fern
Adenophorus pinnatifidus,Graceful kihi fern
Adenophorus tripinnatifidus,Royal kihi fern
Adenostyles alpina,Alpine plantain
Adhemarius gannascus,Sphinx moth
Adiantum capillus-veneris,Maidenhair fern
Adiantum malesianum,Maidenhair fern
Adiantum pedatum,Northern maidenhair fern
Adiantum raddianum,Maidenhair fern
Adipicola crypta,Saltwater clam
Adipicola iwaotakii,Saltwater clam
Adolphia californica,California prickbush
Adonis vernalis,Pheasant's eye
Aechmophorus clarkii,Clark's grebe
Aechmophorus occidentalis,Western grebe
Aedes aegypti,Yellowfever mosquito
Aedes albopictus,Asian tiger mosquito
Aedes cinereus,Small woodland mosquito
Aedes polynesiensis,Polynesian tiger mosquito
Aedes vexans,Inland floodwater mosquito
Aegialia arenaria,Aegialian scarab beetle
Aegilops bicornis,Spach goatgrass
Aegilops crassa,Persian goatgrass
Aegilops cylindrica,Jointed goatgrass
Aegilops searsii,Sears' goatgrass
Aegilops tauschii,Tausch's goatgrass
Aegilops triuncialis,Barbed goatgrass
Aegithalos bonvaloti,Black-browed tit
Aegithalos caudatus,Long-tailed tit
Aegithalos concinnus,Black-throated bushtit
Aegithalos fuliginosus,Sooty tit
Aegithalos glaucogularis,Silver-throated tit
Aegithina tiphia,Common iora
Aegla alacalufi,Freshwater crab
Aegle marmelos,Bael tree
Aegolius acadicus,Northern saw-whet owl
Aegolius funereus,Boreal owl
Aegolius harrisii,Buff-fronted owl
Aegopodium podagraria,Ground elder
Aegotheles cristatus,Australian owlet-nightjar
Aegotheles insignis,Feline owlet-nightjar
Aegotheles savesi,New Caledonian owlet-nightjar
Aegypius monachus,Cinereous vulture
Aeluroscalabotes felinus,Cat gecko
Aelurostrongylus abstrusus,Cat lungworm
Aeolidia papillosa,Sea mouse
Aeoloplides turnbulli,Russian thistle grasshopper
Aepypodius arfakianus,Wattled brush turkey
Aepyprymnus rufescens,Rufous rat-kangaroo
Aequidens tetramerus,Saddle cichlid
Aequipecten opercularis,Queen scallop
Aeria eurimedia,Yellow-striped clearwing butterfly
Aerodramus vulcanorum,Volcano swiftlet
Aeronautes saxatalis,White-throated swift
Aesculus hippocastanum,Horse chestnut
Aesculus pavia,Red buckeye
Aeshna cyanea,Southern hawker dragonfly
Aethaloperca rogaa,Redmouth grouper
Aethalops alecto,Pygmy fruit bat
Aethia cristatella,Crested auklet
Aethia psittacula,Parakeet auklet
Aethia pusilla,Least auklet
Aethia pygmaea,Whiskered auklet
Aethina tumida,Small hive beetle
Aethionema cordifolium,Lebanon stonecress
Aethionema grandiflorum,Persian stone-cress
Aethionema oppositifolium,Opposite-leaf candytuft
Aethionema saxatile,Candy mustard
Aethusa cynapium,Fool's parsley
Aetobatus flagellum,Longheaded eagle ray
Aetobatus narinari,Spotted eagle ray
Afifella marina,Rhodobium marinum
Afrocarpus gracilior,African fern pine
Afropavo congensis,Congo peafowl
Agabus bipustulatus,Water beetle
Agallia constricta,Constricted leafhopper
Agalychnis annae,Blue-sided leaf frog
Agalychnis callidryas,Red-eyed tree frog
Agalychnis spurrelli,Gliding leaf frog
Agama aculeata,Ground agama
Agama agama,Red-headed rock agama
Agama atra,Southern rock agama
Agama impalearis,Bibron's agama
Agama planiceps,Namib rock agama
Agama tassiliensis,Agama lizard
Agapanthus campanulatus,African bluebell
Agapanthus praecox,African blue lily
Agapornis canus,Grey-headed lovebird
Agapornis fischeri,Fischer's lovebird
Agapornis lilianae,Nyasa lovebird
Agapornis nigrigenis,Black-cheeked lovebird
Agapornis personatus,Yellow-collared lovebird
Agapornis pullarius,Red-headed lovebird
Agapornis roseicollis,Rosy-faced lovebird
Agapornis taranta,Black-winged lovebird
Agaricia agaricites,Lettuce coral
Agaricia fragilis,Fragile saucer coral
Agaricia humilis,Lowrelief saucer coral
Agaricus bisporus,White button mushroom
Agaricus bisporus,White button mushroom
Agaricus bisporus,White button mushroom
Agaricus bitorquis,Pavement mushroom
Agaricus californicus,California agaricus
Agaricus campestris,Field mushroom
Agaricus lilaceps,Giant cypress agaricus
Agaricus subrutilescens,Wine-colored agaricus
Agarophyton chilensis,Red alga
Agarophyton tenuistipitatum,Red alga
Agarum clathratum,Shotgun kelp
Agassizia scrobiculata,Sea urchin
Agastache foeniculum,Blue giant hyssop
Agastache mexicana,Mexican giant hyssop
Agastache rugosa,Korean mint
Agastachys odorata,Fragrant waratah
Agathis dammara,Malayan kauri
Agathis montana,Kauri pine
Agathis moorei,Moore kauri
Agathis robusta,Queensland kauri pine
Agave americana,Century plant
Agave attenuata,Fox tail agave
Agave bracteosa,Squid agave
Agave celsii,Century plant
Agave ghiesbreghtii,Green century plant
Agave parviflora,Small-flowered century plant
Agave tequilana,Tequila agave
Agelaia pallipes,Neotropical social wasp
Agelaioides badius,Bay-winged cowbird
Agelaius humeralis,Tawny-shouldered blackbird
Agelaius phoeniceus,Red-winged blackbird
Agelaius tricolor,Tricolored blackbird
Agelaius xanthomus,Yellow-shouldered blackbird
Agelas conifera,Brown tube sponge
Agelas dispar,Marine sponge
Agelas schmidti,Marine sponge
Agelastica alni,Alder leaf beetle
Agelasticus cyanopus,Unicolored blackbird
Agelasticus thilius,Yellow-winged blackbird
Agelasticus xanthophthalmus,Pale-eyed blackbird
Agelena orientalis,Funnel-web spider
Ageratina altissima,White snakeroot
Ageratum conyzoides,Tropical whiteweed
Aggregatibacter actinomycetemcomitans,Actinobacillus actinomycetemcomitans
Agkistrodon contortrix,Broad-banded copperhead
Agkistrodon contortrix,Southern copperhead
Agkistrodon piscivorus,Florida cottonmouth
Agkistrodon piscivorus,Eastern cottonmouth
Agkistrodon piscivorus,Western cottonmouth
Aglaeactis cupripennis,Shining sunbeam
Aglaiocercus kingii,Long-tailed sylph
Aglais milberti,Milbert's tortoiseshell butterfly
Aglais urticae,Small tortoiseshell butterfly
Aglaophamus australiensis,Marine catworm
Aglaothamnion neglectum,Red alga
Aglaothamnion tripinnatum,Red alga
Agonis flexuosa,Australian willow myrtle
Agonostomus monticola,Mountain mullet
Agonum nigrum,Ground beetle
Agraulis vanillae,Gulf fritillary
Agrilus planipennis,Emerald ash borer
Agrimonia parviflora,Small-flowered agrimony
Agriocnemis pygmaea,Pygmy wisp damselfly
Agriornis micropterus,Grey-bellied shrike-tyrant
Agriosphodrus dohrni,Japanese assassin-bug
Agriotes lineatus,Lined click beetle
Agrius cingulata,Pink-spotted hawk moth
Agrius convolvuli,Convolvulus hawk-moth
Agrocybe aegerita,Black poplar mushroom
Agrocybe erebia,Little brown mushroom
Agromyza frontella,Alfalfa blotch leafminer
Agropyron cristatum,Crested wheatgrass
Agrostemma githago,Corn cockle
Agrostis alba,Bent grass
Agrostis capillaris,Colonial bentgrass
Agrostis stolonifera,Creeping bentgrass
Agrotis ipsilon,Black cutworm moth
Agrotis segetum,Turnip moth
Aigialus parvus,Marine mangrove fungus
Ailanthus altissima,Tree of heaven
Ailuropoda melanoleuca,Giant panda
Ailurops ursinus,Sulawesi bear cuscus
Ailurus fulgens,Lesser panda
Aimophila ruficeps,Rufous-crowned sparrow
Aiptasia pulchella,Tropical sea anemone
Aipysurus laevis,Olive sea snake
Aix galericulata,Mandarin duck
Aix sponsa,Wood duck
Ajellomyces capsulatus,Darling's disease fungus
Ajellomyces capsulatus,Darling's disease fungus
Ajellomyces capsulatus,Darling's disease fungus
Ajellomyces capsulatus,Darling's disease fungus
Ajellomyces capsulatus,Darling's disease fungus
Ajellomyces dermatitidis,Blastomyces dermatitidis
Ajuga chamaepitys,Yellow bugle
Akebia quinata,Five leaf akebia
Akodon aerosus,Highland grass mouse
Akodon affinis,Colombian grass mouse
Akodon albiventer,White-bellied grass mouse
Akodon azarae,Azara's grass mouse
Akodon boliviensis,Bolivian grass mouse
Akodon budini,Budin's grass mouse
Akodon cursor,Cursor grass mouse
Akodon dayi,Day's grass mouse
Akodon dolores,Dolorous grass mouse
Akodon fumeus,Smoky grass mouse
Akodon iniscatus,Intelligent grass mouse
Akodon juninensis,Junin grass mouse
Akodon kofordi,Koford's grass mouse
Akodon lindberghi,Lindbergh's grass mouse
Akodon lutescens,Altiplano grass mouse
Akodon mimus,Thespian grass mouse
Akodon molinae,Molina's grass mouse
Akodon mollis,Soft grass mouse
Akodon montensis,Montane grass mouse
Akodon mystax,Caparao grass mouse
Akodon paranaensis,Parana grass mouse
Akodon philipmyersi,Myers' grass mouse
Akodon reigi,Reig's grass mouse
Akodon siberiae,Cochabamba grass mouse
Akodon spegazzinii,Spegazzini's grass mouse
Akodon subfuscus,Puno grass mouse
Akodon toba,Chaco grass mouse
Alabama argillacea,Cotton leafworm
Alangium chinense,Chinese alangium
Alaria esculenta,Atlantic wakame
Alaria marginata,Ribbon kelp
Alasmidonta heterodon,Dwarf wedge mussel
Alauda arvensis,Eurasian skylark
Albinaria caerulea,Land snail
Albinaria turrita,Door snail
Albizia julibrissin,Silk tree
Albizia kalkora,Kalkora mimosa
Albuca bracteata,False sea onion
Albuca setosa,Small white albuca
Alcedo atthis,Common kingfisher
Alcelaphus lichtensteinii,Lichtenstein's hartebeest
Alces alces,European moose
Alces alces,Ussuri moose
Alcithoe aillaudorum,Sea snail
Alcithoe wilsonae,Sea snail
Aldabrachelys gigantea,Aldabra giant tortoise
Alderia modesta,Sea slug
Alderia willowi,Sea slug
Aldrichetta forsteri,Yellow-eye mullet
Alectis alexandrina,Alexandria pompano
Alectis ciliaris,African pompano
Alectis indica,Indian threadfish
Alectoris chukar,Chukar partridge
Alectoris graeca,Rock partridge
Alectoris rufa,Red-legged partridge
Alectrias alectrolophus,Stone cockscomb
Alectura lathami,Australian brush turkey
Alepes djedaba,Shrimp scad
Alepocephalus agassizii,Agassiz' slickhead
Alepocephalus bairdii,Baird's slickhead
Alepocephalus bicolor,Bicolor slickhead
Alepocephalus productus,Smalleye smooth-head
Alepocephalus tenebrosus,California slickhead
Aletris farinosa,Colic root
Aleuria aurantia,Orange peel mushroom
Aleurocanthus camelliae,Camellia spiny whitefly
Aleurocanthus spiniferus,Orange spiny whitefly
Aleurodicus dugesii,Giant whitefly
Alexandrium catenella,Red tide dinoflagellate
Alexandrium tamarense,Red tide dinoflagellate
Alexfloydia repens,Floyd's grass
Algansea tincella,Spottail chub
Aliatypus californicus,Trapdoor spider
Aliatypus janus,Trapdoor spider
Aliatypus thompsoni,Trapdoor spider
Alicia sansibarensis,Tuberculate night anemone
Alisma canaliculatum,Water plantain
Alisma plantago-aquatica,Common water-plantain
Alitta succinea,Pile worm
Alkekengi officinarum,Chinese lantern
Allactaga elater,Small five-toed jerboa
Allagelena opulenta,Funnel weaving spider
Allagoptera arenaria,Seashore palm
Allagoptera caudescens,Buri palm tree
Allamanda cathartica,Yellow allamanda
Alle alle,Little auk
Allenopithecus nigroviridis,Allen's swamp monkey
Allenrolfea occidentalis,Iodine bush
Alliaria petiolata,Garlic mustard
Alligator mississippiensis,American alligator
Alligator sinensis,Chinese alligator
Allionia incarnata,Trailing four o'clock
Allium cepa,Onion
Allium fistulosum,Welsh onion
Allium haematochiton,Redskin onion
Allium porrum,Leek
Allium sativum,Garlic
Allium textile,Textile onion
Allium tuberosum,Garlic chives
Allobates femoralis,Brilliant-thighed poison frog
Allobates granti,Striped rocket frog
Allobates talamancae,Talamanca rocket frog
Allocebus trichotis,Hairy-eared dwarf lemur
Allochrocebus lhoesti,L'Hoest's monkey
Allochrocebus preussi,Preuss's monkey
Allochrocebus solatus,Sun-tailed monkey
Allocyttus niger,Black oreo dory
Allomyces arbusculus,Aquatic fungus
Allosyncarpia ternata,Anbinik tree
Alloteropsis semialata,Cockatoo grass
Allotria elonympha,False underwing moth
Alloxylon flammeum,Red silky oak
Alluaudia procera,Madagascan ocotillo
Alnus glutinosa,European alder
Alnus incana,White alder
Alnus maritima,Seaside alder
Alnus viridis,Green alder
Alnus viridis,European green alder
Alocasia macrorrhizos,Giant taro
Aloe arborescens,Kidachi aloe
Aloe ferox,Bitter aloe
Aloe glauca,Blue aloe
Aloe maculata,Soap aloe
Alonsoa meridionalis,Mask flower
Alonsoa unilabiata,Mask flower
Alopecoenas jobiensis,White-bibbed ground-dove
Alopecosa marikovskyi,Wolf spider
Alopecurus myosuroides,Slender meadow foxtail
Alopecurus pratensis,Meadow foxtail
Alopias vulpinus,Common thresher shark
Alopochen aegyptiaca,Egyptian goose
Alopoglossus angulatus,Spectacled lizard
Alosa sapidissima,American shad
Alouatta belzebul,Red-handed howler monkey
Alouatta caraya,Black howler monkey
Alouatta guariba,Brown howler monkey
Alouatta palliata,Mantled howler monkey
Alouatta pigra,Guatemalan howler monkey
Alouatta seniculus,Red howler monkey
Alpheopsis trigonus,Snapping shrimp
Alpheus angulosus,Snapping shrimp
Alpheus armillatus,Banded snapping shrimp
Alpheus bouvieri,Snapping shrimp
Alpheus colombiensis,Snapping shrimp
Alpheus cristulifrons,Dotted snapping shrimp
Alpheus cylindricus,Cylindrical snapping shrimp
Alpheus digitalis,Forceps snapping shrimp
Alpheus djeddensis,Djeddah snapping shrimp
Alpheus estuariensis,Estuarine snapping shrimp
Alpheus formosus,Striped snapping shrimp
Alpheus lottini,Coral snapping shrimp
Alpheus malleator,Hammerclaw snapping shrimp
Alpheus millsae,Mills' snapping shrimp
Alpheus nuttingi,Snapping shrimp
Alpheus panamensis,Snapping shrimp
Alpheus paracrinitus,Smooth-claw snapping shrimp
Alpheus saxidomus,Pistol shrimp
Alpheus schmitti,Snapping shrimp
Alpheus simus,Rock-boring snapping shrimp
Alpheus umbo,Snapping shrimp
Alpheus vanderbilti,Snapping shrimp
Alpheus websteri,Snapping shrimp
Alphitobius diaperinus,Lesser mealworm beetle
Alphitonia excelsa,Red ash
Alpinia calcarata,Snap ginger
Alpinia galanga,Greater galangal
Alpinia officinarum,Lesser galangal
Alpinia purpurata,Red ginger
Alpinia zerumbet,Shell ginger
Alstroemeria aurea,Peruvian lily
Alstroemeria ligtu,St. Martin's flower
Alstroemeria pelegrina,Peruvian lily
Alternanthera caracasana,Mat chaff-flower
Alternaria alternata,Alternaria rot fungus
Althaea officinalis,Common marshmallow
Alticola macrotis,Large-eared vole
Aluterus scriptus,Scrawled filefish
Alvaradoa amorphoides,Mexican alvaradoa
Alvikia littoralis,Marine green alga
Alvinocaris lusca,Hydrothermal vent shrimp
Alytes cisternasii,Iberian midwife toad
Alytes muletensis,Mallorcan midwife toad
Alytes obstetricans,Common midwife toad
Alyxia ruscifolia,Chain fruit
Amalda northlandica,Northland olive shell
Amandava subflava,Gold breast waxbill
Amanita bisporigera,Destroying angel
Amanita brunnescens,Brown star-footed amanita
Amanita exitialis,Guangzhou destroying angel
Amanita muscaria,Fly agaric
Amanita phalloides,Death cap
Amanita suballiacea,Garlic-odored death cap
Amanita virosa,European destroying angel
Amanses scopas,Broom filefish
Amara apricaria,Ground beetle
Amara aulica,Ground beetle
Amaranthus blitoides,Mat amaranth
Amaranthus cruentus,Purple amaranth
Amaranthus greggii,Gregg's amaranth
Amaranthus hybridus,Slim amaranth
Amaranthus hypochondriacus,Prince-of-Wales feather
Amaranthus palmeri,Palmer amaranth
Amaranthus powellii,Powell's amaranth
Amaranthus quitensis,Mucronate amaranth
Amaranthus retroflexus,Redroot amaranth
Amaranthus spinosus,Spiny amaranth
Amaranthus tricolor,Joseph's coat
Amaranthus tuberculatus,Rough-fruited waterhemp
Amaranthus viridis,Slender amaranth
Amaryllis belladonna,Naked lady lily
Amathia convoluta,Wool bryozoan
Amatitlania nigrofasciata,Convict cichlid
Amatitlania sajica,T-bar cichlid
Amatitlania septemfasciata,Cutter's cichlid
Amauta cacica,Sugar-cane borer moth
Amazilia beryllina,Berylline hummingbird
Amazilia cyanocephala,Azure-crowned hummingbird
Amazilia tzacatl,Rufous-tailed hummingbird
Amazilia yucatanensis,Buff-bellied hummingbird
Amazona aestiva,Blue-fronted Amazon parrot
Amazona farinosa,Mealy parrot
Amazona ochrocephala,Yellow-crowned parrot
Amazona ventralis,Hispaniolan amazon
Amazona vittata,Puerto Rican parrot
Amazonetta brasiliensis,Brazilian teal
Amazophrynella minuta,Tiny tree toad
Ambassis jacksoniensis,Port Jackson perchlet
Amblema plicata,Threeridge mussel
Ambloplites rupestris,Rock bass
Amblycercus holosericeus,Yellow-billed cacique
Amblycirrhitus pinos,Redspotted hawkfish
Amblyeleotris steinitzi,Steinitz' shrimp goby
Amblyeleotris wheeleri,Gorgeous prawn-goby
Amblyglyphidodon aureus,Golden damselfish
Amblygobius phalaena,Whitebarred goby
Amblyomma americanum,Lone star tick
Amblyomma testudinarium,Hard tick
Amblyomma variegatum,Tropical bont tick
Amblyopappus pusillus,Dwarf coastweed
Amblyornis macgregoriae,Macgregor's bowerbird
Amblyraja hyperborea,Arctic skate
Amblyraja radiata,Thorny skate
Amblyramphus holosericeus,Scarlet-headed blackbird
Amblyrhynchus cristatus,Galapagos marine iguana
Amblysomus hottentotus,Hottentot golden mole
Amblysomus marleyi,Marley's golden mole
Ambrosia artemisiifolia,Short ragweed
Ambrosia artemisiifolia,Short ragweed
Ambrosia psilostachya,Western ragweed
Ambrosia trifida,Giant ragweed
Ambystoma californiense,California tiger salamander
Ambystoma gracile,Northwestern salamander
